Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Daily_Change,Daily_change_percent
2024-01-01,21727.75,21834.35,21680.85,21741.9,153995217.0,14184.09,14.15,0.06512409246240407
2024-01-02,21751.35,21755.6,21555.65,21665.8,263711568.0,25316.13,-85.55,-0.3933089210554747
2024-01-03,21661.1,21677.0,21500.35,21517.35,311933117.0,32329.23,-143.75,-0.6636320408474178
2024-01-04,21605.8,21685.65,21564.55,21658.6,339172697.0,30868.15,52.8,0.2443788242046117
2024-01-05,21705.75,21749.6,21629.2,21710.8,309303266.0,26554.49,5.05,0.02326572452000046
2024-01-08,21747.6,21763.95,21492.9,21513.0,231452935.0,21140.94,-234.6,-1.0787397230039177
2024-01-09,21653.6,21724.45,21517.85,21544.85,228568589.0,24055.74,-108.75,-0.5022259578084014
2024-01-10,21529.3,21641.85,21448.65,21618.7,216991926.0,20958.96,89.4,0.4152480572986582
2024-01-11,21688.0,21726.5,21593.75,21647.2,212453866.0,23492.12,-40.8,-0.18812246403541127
2024-01-12,21773.55,21928.25,21715.15,21894.55,294678459.0,30565.5,121.0,0.5557201283208296
2024-01-15,22053.15,22115.55,21963.55,22097.45,345543523.0,29523.15,44.3,0.20087833257380464
2024-01-16,22080.5,22124.15,21969.8,22032.3,292433764.0,24435.94,-48.2,-0.2182921582391703
2024-01-17,21647.25,21851.5,21550.45,21571.95,455999867.0,47533.44,-75.3,-0.3478501888230606
2024-01-18,21414.2,21539.4,21285.55,21462.25,387341268.0,39718.84,48.05,0.22438382008200167
2024-01-19,21615.2,21670.6,21575.0,21622.4,343055124.0,34429.24,7.2,0.033309893038232355
2024-01-20,21706.15,21720.3,21541.8,21571.8,162073740.0,13917.46,-134.35,-0.6189490075393379
2024-01-23,21716.7,21750.25,21192.6,21238.8,449718534.0,48813.68,-477.9,-2.200610590006769
2024-01-24,21185.25,21482.35,21137.2,21453.95,407460664.0,41718.64,268.7,1.2683352804427608
2024-01-25,21454.6,21459.0,21247.05,21352.6,418143077.0,40088.5,-102.0,-0.47542252011223707
2024-01-29,21433.1,21763.25,21429.6,21737.6,376702289.0,34516.42,304.5,1.4206997587843102
2024-01-30,21775.75,21813.05,21501.8,21522.1,375137333.0,32916.3,-253.65,-1.1648278474909017
2024-01-31,21487.25,21741.35,21448.85,21725.7,410583065.0,41587.85,238.45,1.109727861871575
2024-02-01,21780.65,21832.95,21658.75,21697.45,332541208.0,34042.15,-83.2,-0.38199043646539477
2024-02-02,21812.75,22126.8,21805.55,21853.8,442794738.0,38395.9,41.05,0.18819268547065363
2024-02-05,21921.05,21964.3,21726.95,21771.7,440849699.0,33807.94,-149.35,-0.6813086051991123
2024-02-06,21825.2,21951.4,21737.55,21929.4,370968111.0,32910.82,104.2,0.4774297600938364
2024-02-07,22045.05,22053.3,21860.15,21930.5,346263704.0,30088.76,-114.55,-0.5196177826768368
2024-02-08,22009.65,22011.05,21665.3,21717.95,491069786.0,41082.02,-291.7,-1.3253277539624664
2024-02-09,21727.0,21804.45,21629.9,21782.5,349222850.0,31176.16,55.5,0.2554425369356101
2024-02-12,21800.8,21831.7,21574.75,21616.05,287436165.0,23921.14,-184.75,-0.8474459652856776
2024-02-13,21664.3,21766.8,21543.35,21743.25,365785766.0,29896.62,78.95,0.36442442174452905
2024-02-14,21578.15,21870.85,21530.2,21840.05,359120861.0,32535.0,261.9,1.2137277755507305
2024-02-15,21906.55,21953.85,21794.8,21910.75,345394395.0,29559.69,4.2,0.019172347996375513
2024-02-16,22020.3,22068.65,21968.95,22040.7,343892935.0,30666.89,20.4,0.0926417896213948
2024-02-19,22103.45,22186.65,22021.05,22122.25,218252325.0,21375.71,18.8,0.08505459554956353
2024-02-20,22099.2,22215.6,22045.85,22196.95,295705319.0,26872.32,97.75,0.44232370402548504
2024-02-21,22248.85,22249.4,21997.95,22055.05,364545679.0,29741.39,-193.8,-0.8710562568402413
2024-02-22,22081.55,22252.5,21875.25,22217.45,343495136.0,33985.94,135.9,0.6154459265767123
2024-02-23,22290.0,22297.5,22186.1,22212.7,225983194.0,24617.01,-77.3,-0.34679228353521757
2024-02-26,22169.2,22202.15,22075.15,22122.05,207775504.0,20850.26,-47.15,-0.212682460350396
2024-02-27,22090.2,22218.25,22085.65,22198.35,252199186.0,24620.71,108.15,0.4895836162642258
2024-02-28,22214.1,22229.15,21915.85,21951.15,202952371.0,20579.8,-262.95,-1.1837076451443003
2024-02-29,21935.2,22060.55,21860.65,21982.8,360165824.0,40196.12,47.6,0.21700280827163645
2024-03-01,22048.3,22353.3,22047.75,22338.75,351503075.0,29646.47,290.45,1.3173351233428428
2024-03-02,22406.95,22419.55,22367.05,22378.4,35763814.0,1918.77,-28.55,-0.12741582410814503
2024-03-04,22403.5,22440.9,22358.3,22405.6,298794435.0,23771.71,2.1,0.009373535385096079
2024-03-05,22371.25,22416.9,22269.15,22356.3,296153036.0,29165.37,-14.95,-0.06682684248756775
2024-03-06,22327.5,22497.2,22224.35,22474.05,312262560.0,31029.01,146.55,0.6563654685925429
2024-03-07,22505.3,22525.65,22430.0,22493.55,379865142.0,33558.46,-11.75,-0.052209923884596075
2024-03-11,22517.5,22526.6,22307.25,22332.65,277897373.0,27222.37,-184.85,-0.8209170645053847
2024-03-12,22334.45,22452.55,22256.0,22335.7,299201167.0,29781.12,1.25,0.005596735088618703
2024-03-13,22432.2,22446.75,21905.65,21997.7,493341697.0,40109.23,-434.5,-1.936947780422785
2024-03-14,21982.55,22204.6,21917.5,22146.65,426742460.0,37348.3,164.1,0.7465012020898394
2024-03-15,22064.85,22120.9,21931.7,22023.35,661460455.0,60260.88,-41.5,-0.18808194934477235
2024-03-18,21990.1,22123.7,21916.55,22055.7,356321519.0,23015.51,65.6,0.2983160604090022
2024-03-19,21946.45,21978.3,21793.1,21817.45,344157465.0,30291.6,-129.0,-0.5877943813236309
2024-03-20,21843.9,21930.9,21710.2,21839.1,312414696.0,28939.85,-4.8,-0.021974098031944844
2024-03-21,21989.9,22080.95,21941.3,22011.95,353172434.0,31258.4,22.05,0.10027330729107453
2024-03-22,21932.2,22180.7,21883.3,22096.75,388656439.0,39023.19,164.55,0.7502667311076864
2024-03-26,21947.9,22073.2,21947.55,22004.7,328403719.0,33382.08,56.8,0.2587946910638375
